"Year","State","TOTAL.POPULATION","TOTAL.NATIVE.BORN.PERSONS","WHITE.PERSONS","PERSONS.BORN.IN.CUBA","PERSONS.BORN.IN.THE.ATLANTIC.ISLANDS","PERSONS.BORN.IN.AFRICA..COUNTRY.NOT.SPECIFIED.","PERSONS.BORN.IN.THE.WEST.INDIES","Type"
1880,"ALABAMA",1262505,1252771,662185,NA,NA,149,NA,"State"
1880,"ARKANSAS",802525,792175,591531,NA,NA,NA,NA,"State"
1880,"CALIFORNIA",864694,571820,767181,NA,NA,NA,NA,"State"
1880,"COLORADO",194327,154537,191126,NA,NA,NA,NA,"State"
1880,"CONNECTICUT",622700,492708,610769,NA,NA,NA,NA,"State"
1880,"DELAWARE",146608,137140,120160,NA,NA,NA,NA,"State"
1880,"FLORIDA",269493,259584,142605,2170,NA,NA,2793,"State"
1880,"GEORGIA",1542180,1531616,816906,NA,NA,129,NA,"State"
1880,"ILLINOIS",3077871,2494295,3031151,NA,NA,NA,NA,"State"
1880,"INDIANA",1978301,1834123,1938798,NA,NA,NA,NA,"State"
1880,"IOWA",1624615,1362965,1614600,0,0,0,0,"State"
1880,"KANSAS",996096,886010,952155,NA,NA,NA,NA,"State"
1880,"KENTUCKY",1648690,1589173,1377179,NA,NA,NA,NA,"State"
1880,"LOUISIANA",939946,885800,454954,NA,NA,NA,NA,"State"
1880,"MAINE",648936,590053,646852,NA,NA,NA,NA,"State"
1880,"MARYLAND",934943,852137,724693,NA,NA,NA,NA,"State"
1880,"MASSACHUSETTS",1783085,1339594,1763782,NA,2421,NA,NA,"State"
1880,"MICHIGAN",1636937,1248429,1614560,NA,NA,NA,NA,"State"
1880,"MINNESOTA",780773,513098,776884,NA,NA,NA,NA,"State"
1880,"MISSISSIPPI",1131597,1122388,479398,NA,NA,NA,NA,"State"
1880,"MISSOURI",2168380,1956802,2022826,NA,NA,NA,NA,"State"
1880,"NEBRASKA",452402,352368,449764,NA,NA,NA,NA,"State"
1880,"NEVADA",62266,36613,53556,NA,NA,NA,NA,"State"
1880,"NEW HAMPSHIRE",346991,300697,346229,NA,NA,NA,NA,"State"
1880,"NEW JERSEY",1131116,909416,1092017,NA,NA,NA,NA,"State"
1880,"NEW YORK",5082871,3871492,5016022,NA,NA,NA,NA,"State"
1880,"NORTH CAROLINA",1399750,1396008,867242,NA,NA,NA,NA,"State"
1880,"OHIO",3198062,2803119,3117920,NA,NA,NA,NA,"State"
1880,"OREGON",174768,144265,163075,NA,NA,NA,NA,"State"
1880,"PENNSYLVANIA",4282891,3695062,4197016,NA,NA,NA,NA,"State"
1880,"RHODE ISLAND",276531,202538,269939,NA,NA,NA,NA,"State"
1880,"SOUTH CAROLINA",995577,987891,391105,NA,NA,123,NA,"State"
1880,"TENNESSEE",1542359,1525657,1138831,NA,NA,NA,NA,"State"
1880,"TEXAS",1591749,1477133,1197237,NA,NA,NA,NA,"State"
1880,"VERMONT",332286,291327,331218,NA,NA,NA,NA,"State"
1880,"VIRGINIA",1512565,1497869,880858,NA,NA,NA,NA,"State"
1880,"WEST VIRGINIA",618457,600192,592537,NA,NA,NA,NA,"State"
1880,"WISCONSIN",1315497,910072,1309618,NA,NA,NA,NA,"State"
